DateTime,Open,High,Low,Close,
20160829091000,22885.0,22885.0,22885.0,22885.0,
20160829091500,22900.0,22926.0,22846.0,22910.0,
20160829092000,22910.0,22926.0,22885.0,22899.0,
20160829092500,22901.0,22916.0,22880.0,22890.0,
20160829093000,22890.0,22912.0,22833.0,22842.0,
20160829093500,22843.0,22851.0,22772.0,22797.0,
20160829094000,22796.0,22796.0,22748.0,22755.0,
20160829094500,22756.0,22781.0,22744.0,22777.0,
20160829095000,22778.0,22792.0,22764.0,22787.0,
20160829095500,22787.0,22868.0,22778.0,22853.0,
20160829100000,22854.0,22860.0,22823.0,22830.0,
20160829100500,22830.0,22842.0,22820.0,22838.0,
20160829101000,22837.0,22839.0,22810.0,22815.0,
20160829101500,22815.0,22816.0,22780.0,22781.0,
20160829102000,22783.0,22784.0,22752.0,22756.0,
20160829102500,22757.0,22788.0,22750.0,22786.0,
20160829103000,22788.0,22788.0,22776.0,22780.0,
20160829103500,22780.0,22806.0,22780.0,22800.0,
20160829104000,22800.0,22811.0,22785.0,22796.0,
20160829104500,22794.0,22826.0,22778.0,22809.0,
20160829105000,22809.0,22823.0,22807.0,22817.0,
20160829105500,22818.0,22836.0,22814.0,22827.0,
20160829110000,22826.0,22835.0,22816.0,22832.0,
20160829110500,22832.0,22841.0,22829.0,22836.0,
20160829111000,22838.0,22846.0,22819.0,22845.0,
20160829111500,22845.0,22846.0,22828.0,22833.0,
20160829112000,22833.0,22837.0,22826.0,22831.0,
20160829112500,22831.0,22832.0,22813.0,22820.0,
20160829113000,22819.0,22824.0,22815.0,22823.0,
20160829113500,22824.0,22837.0,22823.0,22827.0,
20160829114000,22829.0,22837.0,22825.0,22826.0,
20160829114500,22826.0,22835.0,22825.0,22827.0,
20160829115000,22827.0,22834.0,22827.0,22833.0,
20160829115500,22832.0,22835.0,22816.0,22819.0,
20160829125500,22819.0,22819.0,22819.0,22819.0,
20160829130000,22817.0,22832.0,22801.0,22806.0,
20160829130500,22806.0,22814.0,22793.0,22813.0,
20160829131000,22813.0,22828.0,22798.0,22825.0,
20160829131500,22825.0,22834.0,22822.0,22829.0,
20160829132000,22829.0,22832.0,22818.0,22823.0,
20160829132500,22824.0,22828.0,22813.0,22818.0,
20160829133000,22820.0,22824.0,22804.0,22807.0,
20160829133500,22807.0,22824.0,22805.0,22822.0,
20160829134000,22822.0,22839.0,22818.0,22835.0,
20160829134500,22837.0,22837.0,22825.0,22825.0,
20160829135000,22826.0,22826.0,22811.0,22813.0,
20160829135500,22813.0,22829.0,22812.0,22822.0,
20160829140000,22824.0,22831.0,22816.0,22817.0,
20160829140500,22818.0,22825.0,22804.0,22825.0,
20160829141000,22826.0,22836.0,22821.0,22823.0,
20160829141500,22823.0,22829.0,22821.0,22828.0,
20160829142000,22827.0,22833.0,22816.0,22832.0,
20160829142500,22832.0,22834.0,22810.0,22816.0,
20160829143000,22815.0,22817.0,22786.0,22788.0,
20160829143500,22790.0,22806.0,22785.0,22800.0,
20160829144000,22799.0,22807.0,22794.0,22797.0,
20160829144500,22796.0,22812.0,22795.0,22805.0,
20160829145000,22806.0,22809.0,22791.0,22797.0,
20160829145500,22796.0,22803.0,22778.0,22785.0,
20160829150000,22785.0,22818.0,22777.0,22800.0,
