DateTime,Open,High,Low,Close,Volume
20160912171500 ,23308,23318,23294,23294,348
20160912172000 ,23296,23315,23292,23312,172
20160912172500 ,23310,23311,23295,23297,183
20160912173000 ,23297,23297,23286,23295,149
20160912173500 ,23293,23293,23270,23270,259
20160912174000 ,23272,23272,23235,23239,718
20160912174500 ,23239,23260,23239,23252,355
20160912175000 ,23253,23265,23244,23259,391
20160912175500 ,23260,23261,23208,23208,564
20160912180000 ,23209,23221,23184,23184,441
20160912180500 ,23186,23193,23165,23165,380
20160912181000 ,23165,23171,23155,23160,368
20160912181500 ,23160,23199,23158,23177,399
20160912182000 ,23176,23180,23159,23172,243
20160912182500 ,23170,23183,23150,23153,241
20160912183000 ,23152,23159,23143,23152,282
20160912183500 ,23153,23161,23139,23140,194
20160912184000 ,23142,23157,23142,23155,184
20160912184500 ,23158,23179,23154,23167,225
20160912185000 ,23168,23180,23161,23177,143
20160912185500 ,23178,23191,23171,23189,175
20160912190000 ,23189,23191,23177,23186,85
20160912190500 ,23188,23190,23177,23188,62
20160912191000 ,23186,23189,23179,23184,67
20160912191500 ,23185,23216,23185,23207,308
20160912192000 ,23206,23206,23170,23177,211
20160912192500 ,23178,23197,23178,23188,106
20160912193000 ,23188,23194,23183,23185,117
20160912193500 ,23183,23186,23173,23181,84
20160912194000 ,23182,23182,23170,23175,43
20160912194500 ,23180,23191,23180,23188,152
20160912195000 ,23186,23218,23186,23217,177
20160912195500 ,23218,23249,23216,23230,469
20160912200000 ,23231,23249,23227,23241,190
20160912200500 ,23240,23244,23222,23236,200
20160912201000 ,23239,23266,23237,23261,256
20160912201500 ,23262,23318,23262,23297,572
20160912202000 ,23298,23298,23271,23285,180
20160912202500 ,23285,23312,23285,23295,225
20160912203000 ,23294,23309,23294,23301,127
20160912203500 ,23303,23310,23286,23292,134
20160912204000 ,23289,23310,23289,23298,168
20160912204500 ,23297,23297,23248,23252,285
20160912205000 ,23253,23265,23253,23262,119
20160912205500 ,23262,23281,23260,23268,175
20160912210000 ,23271,23291,23271,23288,188
20160912210500 ,23285,23300,23279,23288,192
20160912211000 ,23291,23296,23272,23285,126
20160912211500 ,23284,23293,23273,23279,151
20160912212000 ,23278,23280,23258,23259,202
20160912212500 ,23259,23271,23244,23247,141
20160912213000 ,23246,23314,23241,23314,680
20160912213500 ,23312,23360,23300,23359,788
20160912214000 ,23359,23364,23332,23347,502
20160912214500 ,23345,23345,23285,23297,487
20160912215000 ,23295,23348,23294,23345,471
20160912215500 ,23346,23398,23340,23375,912
20160912220000 ,23378,23411,23370,23383,658
20160912220500 ,23384,23414,23376,23396,463
20160912221000 ,23392,23399,23381,23391,299
20160912221500 ,23392,23415,23370,23413,384
20160912222000 ,23414,23438,23408,23422,579
20160912222500 ,23423,23440,23420,23433,284
20160912223000 ,23435,23442,23428,23432,198
20160912223500 ,23434,23434,23415,23418,397
20160912224000 ,23418,23445,23415,23441,263
20160912224500 ,23442,23446,23391,23395,564
20160912225000 ,23391,23404,23381,23402,311
20160912225500 ,23402,23414,23394,23396,225
20160912230000 ,23396,23419,23396,23419,261
20160912230500 ,23421,23432,23416,23421,232
20160912231000 ,23423,23424,23392,23404,248
20160912231500 ,23402,23421,23387,23418,248
20160912232000 ,23415,23439,23410,23434,237
20160912232500 ,23436,23437,23421,23427,191
20160912233000 ,23430,23437,23416,23433,200
20160912233500 ,23434,23473,23433,23466,410
20160912234000 ,23467,23472,23455,23464,286
20160912234500 ,23464,23464,23464,23464,0
20160913091000 ,23545,23545,23545,23545,443
20160913091500 ,23548,23578,23511,23518,3294
20160913092000 ,23517,23608,23516,23591,3532
20160913092500 ,23589,23592,23564,23586,1418
20160913093000 ,23584,23632,23570,23600,5146
20160913093500 ,23598,23634,23575,23584,3188
20160913094000 ,23583,23607,23558,23590,3151
20160913094500 ,23591,23605,23575,23584,1565
20160913095000 ,23584,23591,23525,23534,2801
20160913095500 ,23533,23566,23531,23548,2278
20160913100000 ,23546,23571,23529,23530,2072
20160913100500 ,23531,23547,23465,23475,3878
20160913101000 ,23475,23500,23463,23471,2393
20160913101500 ,23471,23491,23452,23479,2165
20160913102000 ,23479,23496,23471,23491,1595
20160913102500 ,23493,23523,23487,23523,1733
20160913103000 ,23523,23537,23516,23525,1558
20160913103500 ,23526,23568,23525,23555,1979
20160913104000 ,23554,23556,23519,23532,1302
20160913104500 ,23532,23542,23502,23505,1135
20160913105000 ,23505,23521,23491,23517,1317
20160913105500 ,23517,23524,23499,23508,814
20160913110000 ,23509,23517,23468,23470,1935
20160913110500 ,23471,23488,23470,23484,955
20160913111000 ,23484,23498,23476,23487,1026
20160913111500 ,23488,23512,23478,23511,1048
20160913112000 ,23511,23519,23498,23512,748
20160913112500 ,23514,23519,23484,23499,792
20160913113000 ,23500,23527,23491,23522,933
20160913113500 ,23521,23532,23511,23527,664
20160913114000 ,23529,23530,23500,23514,647
20160913114500 ,23513,23517,23490,23497,488
20160913115000 ,23496,23504,23476,23504,668
20160913115500 ,23501,23505,23480,23488,384
