DateTime,Open,High,Low,Close,Volume
20160913171500 ,23255,23276,23245,23250,367
20160913172000 ,23250,23298,23250,23287,369
20160913172500 ,23287,23289,23273,23284,147
20160913173000 ,23286,23294,23280,23287,136
20160913173500 ,23285,23285,23279,23284,46
20160913174000 ,23283,23286,23270,23272,75
20160913174500 ,23270,23273,23246,23257,207
20160913175000 ,23257,23267,23252,23265,87
20160913175500 ,23263,23266,23257,23266,64
20160913180000 ,23267,23290,23266,23281,164
20160913180500 ,23282,23296,23280,23296,109
20160913181000 ,23297,23313,23290,23293,309
20160913181500 ,23290,23296,23284,23288,76
20160913182000 ,23286,23290,23283,23287,59
20160913182500 ,23286,23308,23280,23305,115
20160913183000 ,23302,23318,23302,23309,143
20160913183500 ,23310,23330,23307,23325,229
20160913184000 ,23323,23340,23322,23329,197
20160913184500 ,23331,23362,23328,23360,207
20160913185000 ,23359,23360,23339,23339,105
20160913185500 ,23341,23346,23330,23337,137
20160913190000 ,23336,23338,23330,23332,48
20160913190500 ,23334,23334,23317,23319,117
20160913191000 ,23317,23329,23316,23320,97
20160913191500 ,23318,23319,23310,23312,103
20160913192000 ,23313,23313,23277,23277,248
20160913192500 ,23277,23301,23277,23295,131
20160913193000 ,23294,23296,23279,23280,99
20160913193500 ,23279,23298,23268,23296,245
20160913194000 ,23296,23298,23285,23292,131
20160913194500 ,23293,23302,23291,23294,143
20160913195000 ,23294,23298,23284,23285,82
20160913195500 ,23285,23292,23273,23280,210
20160913200000 ,23281,23281,23263,23275,205
20160913200500 ,23276,23276,23261,23268,109
20160913201000 ,23269,23287,23266,23274,162
20160913201500 ,23275,23278,23267,23276,86
20160913202000 ,23276,23277,23263,23264,71
20160913202500 ,23263,23263,23235,23255,354
20160913203000 ,23256,23256,23233,23240,168
20160913203500 ,23241,23249,23223,23229,214
20160913204000 ,23228,23236,23225,23236,119
20160913204500 ,23237,23237,23222,23234,83
20160913205000 ,23236,23249,23229,23249,149
20160913205500 ,23247,23263,23242,23257,171
20160913210000 ,23254,23262,23234,23234,187
20160913210500 ,23233,23234,23188,23214,630
20160913211000 ,23215,23227,23204,23220,217
20160913211500 ,23218,23247,23218,23237,176
20160913212000 ,23236,23237,23216,23218,184
20160913212500 ,23219,23226,23204,23214,261
20160913213000 ,23213,23230,23190,23223,559
20160913213500 ,23222,23281,23185,23273,835
20160913214000 ,23272,23285,23244,23251,555
20160913214500 ,23246,23269,23218,23223,632
20160913215000 ,23222,23234,23191,23210,596
20160913215500 ,23206,23211,23180,23189,575
20160913220000 ,23188,23192,23143,23162,909
20160913220500 ,23161,23185,23154,23162,553
20160913221000 ,23159,23160,23140,23154,481
20160913221500 ,23154,23168,23141,23144,338
20160913222000 ,23142,23143,23122,23132,607
20160913222500 ,23131,23156,23126,23136,428
20160913223000 ,23138,23161,23122,23156,411
20160913223500 ,23158,23175,23148,23159,377
20160913224000 ,23163,23175,23155,23161,225
20160913224500 ,23161,23195,23160,23171,452
20160913225000 ,23168,23172,23140,23148,334
20160913225500 ,23145,23158,23132,23136,216
20160913230000 ,23136,23148,23130,23135,212
20160913230500 ,23134,23140,23115,23122,355
20160913231000 ,23120,23120,23074,23080,642
20160913231500 ,23082,23086,23061,23072,405
20160913232000 ,23071,23096,23062,23088,381
20160913232500 ,23087,23107,23065,23066,395
20160913233000 ,23068,23080,23036,23048,497
20160913233500 ,23047,23064,23042,23053,477
20160913234000 ,23052,23075,23049,23075,356
20160913234500 ,23075,23075,23075,23075,0
20160914091000 ,23150,23150,23150,23150,405
20160914091500 ,23140,23242,23140,23232,3609
20160914092000 ,23230,23243,23202,23220,1582
20160914092500 ,23222,23237,23190,23213,1733
20160914093000 ,23214,23274,23156,23252,5952
20160914093500 ,23252,23309,23224,23229,4980
20160914094000 ,23230,23269,23206,23253,3175
20160914094500 ,23256,23315,23234,23306,3033
20160914095000 ,23307,23338,23294,23332,2815
20160914095500 ,23332,23366,23322,23362,2782
20160914100000 ,23361,23365,23337,23364,2072
20160914100500 ,23364,23380,23292,23300,3129
20160914101000 ,23301,23325,23285,23308,2122
20160914101500 ,23310,23335,23304,23314,1533
20160914102000 ,23312,23323,23276,23279,1618
20160914102500 ,23277,23280,23207,23240,3223
20160914103000 ,23242,23262,23239,23250,1491
20160914103500 ,23249,23268,23239,23261,1043
20160914104000 ,23261,23267,23232,23260,1118
20160914104500 ,23261,23289,23259,23279,1479
20160914105000 ,23280,23281,23253,23259,1078
20160914105500 ,23259,23278,23257,23260,702
20160914110000 ,23262,23280,23243,23244,961
20160914110500 ,23242,23258,23225,23234,1106
20160914111000 ,23234,23245,23211,23225,1174
20160914111500 ,23226,23238,23224,23231,730
20160914112000 ,23231,23245,23215,23228,830
20160914112500 ,23226,23232,23195,23198,1205
20160914113000 ,23198,23216,23183,23204,1175
20160914113500 ,23202,23222,23190,23218,693
20160914114000 ,23220,23230,23214,23226,709
20160914114500 ,23226,23255,23225,23255,760
20160914115000 ,23256,23268,23247,23254,786
20160914115500 ,23255,23260,23233,23237,567
20160914125500 ,23237,23237,23237,23237,0
20160914130000 ,23236,23256,23224,23235,1042
20160914130500 ,23235,23257,23222,23253,681
20160914131000 ,23254,23287,23251,23270,1404
20160914131500 ,23270,23270,23246,23261,908
20160914132000 ,23261,23267,23254,23254,425
20160914132500 ,23255,23273,23246,23271,786
20160914133000 ,23271,23276,23236,23244,914
20160914133500 ,23245,23248,23230,23237,591
20160914134000 ,23238,23239,23208,23218,1043
20160914134500 ,23219,23224,23200,23220,1056
20160914135000 ,23219,23234,23217,23226,692
20160914135500 ,23227,23234,23207,23208,657
20160914140000 ,23208,23232,23206,23223,696
20160914140500 ,23224,23227,23192,23199,1071
20160914141000 ,23198,23219,23196,23207,613
20160914141500 ,23206,23240,23197,23221,1279
20160914142000 ,23220,23233,23212,23221,606
20160914142500 ,23221,23260,23220,23258,1415
20160914143000 ,23257,23283,23255,23258,1710
20160914143500 ,23257,23272,23244,23269,993
20160914144000 ,23269,23272,23251,23266,822
20160914144500 ,23265,23269,23232,23255,1297
20160914145000 ,23255,23269,23249,23261,719
20160914145500 ,23261,23272,23248,23266,828
20160914150000 ,23267,23294,23240,23275,2722
20160914150500 ,23274,23277,23245,23259,1173
20160914151000 ,23260,23260,23214,23222,1820
20160914151500 ,23223,23227,23206,23218,1116
20160914152000 ,23217,23222,23203,23214,945
20160914152500 ,23212,23243,23208,23229,1221
20160914153000 ,23228,23230,23183,23183,1671
20160914153500 ,23183,23192,23165,23174,1835
20160914154000 ,23174,23194,23166,23179,1312
20160914154500 ,23179,23190,23156,23171,1410
20160914155000 ,23172,23197,23171,23190,956
20160914155500 ,23192,23227,23189,23225,1529
20160914160000 ,23224,23234,23204,23221,1423
20160914160500 ,23220,23234,23202,23233,1185
20160914161000 ,23233,23265,23231,23240,1404
20160914161500 ,23240,23280,23236,23276,816
20160914162000 ,23278,23284,23263,23270,596
20160914162500 ,23271,23281,23251,23252,888
20160914171500 ,23250,23250,23221,23234,354
20160914172000 ,23237,23247,23231,23243,168
20160914172500 ,23245,23272,23237,23260,203
20160914173000 ,23261,23271,23245,23253,217
20160914173500 ,23253,23270,23253,23263,54
20160914174000 ,23264,23271,23264,23265,52
20160914174500 ,23266,23279,23263,23274,117
20160914175000 ,23275,23283,23265,23278,106
20160914175500 ,23277,23282,23267,23269,91
20160914180000 ,23266,23270,23260,23264,73
20160914180500 ,23264,23269,23256,23269,88
20160914181000 ,23268,23278,23264,23264,66
20160914181500 ,23263,23274,23261,23272,53
20160914182000 ,23272,23273,23265,23269,22
20160914182500 ,23271,23280,23269,23279,49
20160914183000 ,23278,23298,23277,23287,178
20160914183500 ,23284,23291,23282,23289,57
20160914184000 ,23284,23287,23282,23286,30
20160914184500 ,23284,23286,23281,23284,23
20160914185000 ,23281,23283,23272,23274,51
20160914185500 ,23274,23277,23269,23270,55
