DateTime,Open,High,Low,Close,Volume
20160923091000 ,23790,23790,23790,23790,0
20160923091500 ,23881,23889,23845,23846,131
20160923092000 ,23843,23855,23833,23833,81
20160923092500 ,23839,23853,23832,23843,167
20160923093000 ,23841,23844,23726,23760,890
20160923093500 ,23753,23804,23753,23804,617
20160923094000 ,23794,23820,23782,23816,303
20160923094500 ,23821,23821,23768,23768,32
20160923095000 ,23771,23817,23769,23811,38
20160923095500 ,23818,23818,23789,23807,1322
20160923100000 ,23804,23853,23804,23843,757
20160923100500 ,23861,23866,23829,23839,66
20160923101000 ,23850,23853,23814,23824,1143
20160923101500 ,23847,23847,23826,23826,38
20160923102000 ,23821,23821,23784,23784,238
20160923102500 ,23796,23804,23790,23796,46
20160923103000 ,23792,23792,23773,23773,24
20160923103500 ,23777,23787,23762,23786,27
20160923104000 ,23793,23799,23788,23788,19
20160923104500 ,23807,23808,23775,23775,85
20160923105000 ,23778,23781,23769,23778,70
20160923105500 ,23788,23790,23759,23759,604
20160923110000 ,23760,23779,23756,23774,51
20160923110500 ,23773,23776,23761,23774,239
20160923111000 ,23780,23783,23771,23771,23
20160923111500 ,23777,23779,23769,23775,18
20160923112000 ,23791,23794,23776,23794,23
20160923112500 ,23788,23795,23784,23790,29
20160923113000 ,23792,23805,23782,23782,20
20160923113500 ,23779,23796,23779,23795,18
20160923114000 ,23794,23794,23785,23785,7
20160923114500 ,23785,23791,23770,23770,19
20160923115000 ,23776,23777,23765,23768,20
20160923115500 ,23760,23768,23756,23763,44
20160923125500 ,23763,23763,23763,23763,0
20160923130000 ,23766,23766,23733,23750,55
20160923130500 ,23756,23761,23725,23725,57
20160923131000 ,23728,23730,23703,23720,25
20160923131500 ,23718,23719,23715,23717,10
20160923132000 ,23727,23750,23727,23745,22
20160923132500 ,23740,23746,23734,23738,6
20160923133000 ,23734,23747,23734,23740,11
20160923133500 ,23744,23758,23744,23754,48
20160923134000 ,23757,23757,23741,23751,72
20160923134500 ,23752,23791,23746,23780,86
20160923135000 ,23775,23775,23750,23761,30
20160923135500 ,23761,23763,23728,23728,25
20160923140000 ,23736,23740,23728,23728,43
20160923140500 ,23728,23741,23728,23733,11
20160923141000 ,23738,23738,23725,23728,15
20160923141500 ,23744,23744,23726,23726,20
20160923142000 ,23730,23740,23729,23740,12
20160923142500 ,23740,23754,23733,23754,35
20160923143000 ,23750,23763,23750,23759,25
20160923143500 ,23757,23768,23757,23761,38
20160923144000 ,23761,23761,23753,23755,10
20160923144500 ,23757,23757,23745,23745,7
20160923145000 ,23746,23763,23746,23758,18
20160923145500 ,23757,23773,23753,23771,22
20160923150000 ,23765,23769,23761,23761,137
20160923150500 ,23763,23784,23762,23783,30
20160923151000 ,23786,23786,23763,23763,21
20160923151500 ,23763,23763,23744,23748,22
20160923152000 ,23749,23749,23725,23725,57
20160923152500 ,23726,23726,23689,23706,796
20160923153000 ,23707,23710,23661,23677,54
20160923153500 ,23667,23684,23667,23675,49
20160923154000 ,23676,23676,23635,23635,40
20160923154500 ,23630,23646,23623,23640,44
20160923155000 ,23646,23658,23646,23656,50
20160923155500 ,23654,23661,23654,23659,51
20160923160000 ,23657,23673,23657,23663,41
20160923160500 ,23668,23678,23656,23678,74
20160923161000 ,23675,23681,23675,23681,164
20160923161500 ,23673,23673,23664,23668,15
20160923162000 ,23665,23680,23665,23680,11
20160923162500 ,23671,23674,23666,23674,83
20160923171500 ,23684,23703,23671,23685,303
20160923172000 ,23684,23690,23679,23688,110
20160923172500 ,23686,23692,23682,23688,58
20160923173000 ,23689,23695,23685,23688,75
20160923173500 ,23688,23688,23675,23679,75
20160923174000 ,23679,23697,23676,23692,201
20160923174500 ,23690,23706,23690,23701,177
20160923175000 ,23700,23708,23692,23695,99
20160923175500 ,23694,23700,23691,23691,183
20160923180000 ,23695,23700,23690,23690,159
20160923180500 ,23691,23696,23690,23691,53
20160923181000 ,23691,23695,23690,23695,31
20160923181500 ,23695,23699,23690,23697,89
20160923182000 ,23695,23699,23690,23693,53
20160923182500 ,23692,23694,23687,23692,108
20160923183000 ,23693,23700,23693,23697,62
20160923183500 ,23698,23699,23692,23698,48
20160923184000 ,23694,23695,23688,23689,37
20160923184500 ,23689,23692,23688,23690,71
20160923185000 ,23690,23690,23682,23682,48
20160923185500 ,23682,23690,23675,23684,77
20160923190000 ,23684,23689,23684,23687,13
20160923190500 ,23689,23690,23686,23686,12
20160923191000 ,23686,23686,23680,23682,25
20160923191500 ,23682,23687,23681,23682,37
20160923192000 ,23680,23684,23676,23681,26
20160923192500 ,23682,23687,23676,23679,41
20160923193000 ,23678,23678,23670,23678,96
20160923193500 ,23676,23685,23673,23685,60
20160923194000 ,23684,23690,23684,23690,37
20160923194500 ,23692,23692,23680,23686,35
20160923195000 ,23688,23688,23680,23682,48
20160923195500 ,23680,23680,23666,23674,71
20160923200000 ,23672,23672,23664,23667,52
20160923200500 ,23669,23679,23669,23676,47
20160923201000 ,23680,23684,23675,23676,58
20160923201500 ,23676,23676,23670,23673,19
20160923202000 ,23675,23675,23670,23673,17
20160923202500 ,23673,23679,23673,23675,7
20160923203000 ,23675,23675,23668,23670,32
20160923203500 ,23671,23674,23670,23673,13
20160923204000 ,23675,23680,23675,23677,25
20160923204500 ,23677,23677,23672,23674,20
20160923205000 ,23676,23677,23672,23677,25
