DateTime,Open,High,Low,Close,Volume
20160919091000 ,23488,23488,23488,23488,254
20160919091500 ,23480,23535,23480,23520,2883
20160919092000 ,23520,23550,23506,23527,1852
20160919092500 ,23527,23543,23515,23533,1055
20160919093000 ,23533,23534,23405,23419,4963
20160919093500 ,23421,23462,23405,23449,2346
20160919094000 ,23450,23497,23437,23483,2194
20160919094500 ,23482,23542,23479,23537,2967
20160919095000 ,23538,23559,23502,23512,3013
20160919095500 ,23512,23512,23463,23469,2177
20160919100000 ,23467,23475,23435,23439,1941
20160919100500 ,23439,23445,23406,23440,2321
20160919101000 ,23442,23455,23413,23425,1418
20160919101500 ,23426,23443,23415,23443,1346
20160919102000 ,23442,23463,23438,23452,1380
20160919102500 ,23453,23476,23451,23460,1616
20160919103000 ,23460,23494,23459,23489,1366
20160919103500 ,23490,23491,23464,23479,1231
20160919104000 ,23477,23491,23445,23452,1422
20160919104500 ,23453,23480,23448,23475,725
20160919105000 ,23474,23487,23469,23470,861
20160919105500 ,23469,23489,23464,23484,793
20160919110000 ,23484,23484,23458,23469,673
20160919110500 ,23468,23508,23461,23504,1329
20160919111000 ,23504,23522,23491,23517,1151
20160919111500 ,23516,23534,23507,23531,1430
20160919112000 ,23532,23538,23501,23508,1236
20160919112500 ,23508,23526,23505,23520,708
20160919113000 ,23520,23535,23510,23521,778
20160919113500 ,23524,23536,23519,23534,647
20160919114000 ,23535,23546,23526,23538,821
20160919114500 ,23539,23570,23531,23562,1706
20160919115000 ,23562,23567,23536,23550,991
20160919115500 ,23550,23551,23527,23533,678
20160919125500 ,23533,23533,23533,23533,0
20160919130000 ,23527,23562,23517,23559,1406
20160919130500 ,23560,23568,23543,23546,839
20160919131000 ,23548,23608,23537,23603,2690
20160919131500 ,23604,23622,23595,23615,1674
20160919132000 ,23616,23622,23584,23587,1245
20160919132500 ,23588,23600,23581,23598,776
20160919133000 ,23598,23608,23590,23600,745
20160919133500 ,23602,23602,23568,23573,1101
20160919134000 ,23570,23579,23556,23575,1140
20160919134500 ,23576,23584,23567,23576,606
20160919135000 ,23577,23577,23536,23545,1484
20160919135500 ,23545,23558,23528,23528,1045
20160919140000 ,23529,23555,23521,23549,1324
20160919140500 ,23551,23557,23533,23544,854
20160919141000 ,23545,23555,23536,23555,560
20160919141500 ,23552,23568,23548,23563,685
20160919142000 ,23563,23565,23537,23542,550
20160919142500 ,23542,23550,23536,23544,369
20160919143000 ,23544,23557,23530,23552,810
20160919143500 ,23552,23559,23546,23551,473
20160919144000 ,23551,23557,23544,23545,498
20160919144500 ,23545,23548,23531,23538,621
20160919145000 ,23538,23545,23527,23541,710
20160919145500 ,23541,23541,23524,23534,682
20160919150000 ,23533,23556,23516,23516,1345
20160919150500 ,23516,23523,23474,23493,2718
20160919151000 ,23494,23508,23486,23507,1173
20160919151500 ,23507,23537,23505,23530,1251
20160919152000 ,23531,23554,23524,23541,1262
20160919152500 ,23542,23553,23537,23551,810
20160919153000 ,23551,23572,23544,23557,1386
20160919153500 ,23558,23573,23545,23553,1175
20160919154000 ,23555,23562,23539,23545,889
20160919154500 ,23546,23577,23542,23564,1141
20160919155000 ,23564,23570,23551,23551,773
20160919155500 ,23552,23568,23545,23566,1073
20160919160000 ,23567,23568,23541,23546,1310
20160919160500 ,23545,23545,23522,23532,1361
20160919161000 ,23532,23547,23519,23524,1127
20160919161500 ,23523,23539,23520,23521,451
20160919162000 ,23520,23533,23520,23525,323
20160919162500 ,23525,23533,23521,23533,631
20160919171500 ,23535,23565,23535,23565,344
20160919172000 ,23565,23568,23554,23555,202
20160919172500 ,23555,23573,23554,23555,128
20160919173000 ,23553,23558,23546,23548,103
