DateTime,Open,High,Low,Close,Volume
20161020091000 ,23278,23278,23278,23278,0
20161020091500 ,23388,23420,23388,23408,21
20161020092000 ,23408,23441,23408,23441,2
20161020092500 ,23441,23441,23413,23427,15
20161020093000 ,23427,23452,23400,23445,17
20161020093500 ,23443,23449,23433,23433,318
20161020094000 ,23433,23468,23433,23468,401
20161020094500 ,23468,23468,23459,23459,3
20161020095000 ,23459,23461,23459,23461,1
20161020095500 ,23474,23489,23474,23484,235
20161020100000 ,23499,23499,23477,23477,6
20161020100500 ,23477,23477,23465,23465,2
20161020101000 ,23465,23481,23465,23479,10
20161020101500 ,23479,23479,23445,23445,5
20161020102000 ,23456,23456,23435,23435,7
20161020102500 ,23435,23450,23435,23450,1
20161020103000 ,23455,23455,23442,23442,2
20161020103500 ,23442,23452,23442,23450,3
20161020104000 ,23455,23455,23440,23440,6
20161020104500 ,23440,23440,23405,23405,7
20161020105000 ,23412,23412,23412,23412,1
20161020105500 ,23419,23445,23419,23445,5
20161020110000 ,23445,23445,23445,23445,0
20161020110500 ,23445,23461,23445,23457,7
20161020111000 ,23457,23461,23457,23461,3
20161020111500 ,23461,23471,23457,23471,4
20161020112000 ,23475,23482,23469,23469,7
20161020112500 ,23469,23475,23469,23475,2
20161020113000 ,23472,23485,23472,23485,6
20161020113500 ,23485,23495,23484,23487,5
20161020114000 ,23487,23487,23485,23485,5
20161020114500 ,23485,23485,23470,23470,3
20161020115000 ,23470,23472,23470,23472,1
20161020115500 ,23472,23472,23466,23466,1
20161020125500 ,23466,23466,23466,23466,0
20161020130000 ,23456,23456,23450,23451,10
20161020130500 ,23460,23460,23460,23460,6
20161020131000 ,23460,23460,23435,23435,6
20161020131500 ,23435,23435,23435,23435,0
20161020132000 ,23435,23438,23435,23438,2
20161020132500 ,23438,23438,23438,23438,0
20161020133000 ,23438,23447,23438,23447,1
20161020133500 ,23447,23447,23445,23447,17
20161020134000 ,23447,23452,23438,23438,7
20161020134500 ,23438,23438,23410,23410,5
20161020135000 ,23419,23431,23419,23431,4
20161020135500 ,23431,23431,23430,23430,1
20161020140000 ,23430,23430,23430,23430,0
20161020140500 ,23412,23425,23412,23425,2
20161020141000 ,23425,23425,23425,23425,0
20161020141500 ,23406,23406,23380,23400,15
20161020142000 ,23412,23412,23401,23401,2
