DateTime,Open,High,Low,Close,Volume,
20160909091000,23854.0,23854.0,23854.0,23854.0,215.0,
20160909091500,23855.0,23884.0,23837.0,23875.0,2784.0,
20160909092000,23877.0,23887.0,23860.0,23882.0,1116.0,
20160909092500,23882.0,23899.0,23871.0,23893.0,868.0,
20160909093000,23896.0,23988.0,23892.0,23985.0,4769.0,
20160909093500,23985.0,24010.0,23967.0,23979.0,3607.0,
20160909094000,23979.0,23992.0,23966.0,23970.0,2040.0,
20160909094500,23972.0,23995.0,23966.0,23976.0,1829.0,
20160909095000,23977.0,24003.0,23971.0,23999.0,2112.0,
20160909095500,24000.0,24015.0,23975.0,23978.0,2467.0,
20160909100000,23978.0,23980.0,23961.0,23974.0,1745.0,
20160909100500,23973.0,23979.0,23964.0,23975.0,1102.0,
20160909101000,23975.0,23993.0,23972.0,23988.0,956.0,
20160909101500,23987.0,23993.0,23978.0,23982.0,763.0,
20160909102000,23982.0,23996.0,23981.0,23984.0,758.0,
20160909102500,23984.0,24012.0,23984.0,24002.0,1112.0,
20160909103000,24001.0,24003.0,23982.0,23985.0,1194.0,
20160909103500,23984.0,24019.0,23984.0,24003.0,1294.0,
20160909104000,24004.0,24032.0,24002.0,24028.0,1612.0,
20160909104500,24028.0,24035.0,24016.0,24029.0,1155.0,
20160909105000,24027.0,24058.0,24027.0,24048.0,1904.0,
20160909105500,24049.0,24058.0,24039.0,24045.0,1104.0,
20160909110000,24045.0,24087.0,24044.0,24067.0,2823.0,
20160909110500,24067.0,24102.0,24060.0,24092.0,2605.0,
20160909111000,24091.0,24127.0,24091.0,24106.0,2646.0,
20160909111500,24105.0,24120.0,24095.0,24112.0,1595.0,
20160909112000,24112.0,24145.0,24110.0,24127.0,2197.0,
20160909112500,24128.0,24152.0,24126.0,24143.0,1194.0,
20160909113000,24143.0,24160.0,24129.0,24160.0,1306.0,
20160909113500,24158.0,24160.0,24141.0,24143.0,836.0,
20160909114000,24143.0,24143.0,24133.0,24140.0,626.0,
20160909114500,24139.0,24143.0,24131.0,24135.0,387.0,
20160909115000,24136.0,24142.0,24130.0,24136.0,508.0,
20160909115500,24136.0,24143.0,24131.0,24141.0,604.0,
20160909125500,24141.0,24141.0,24141.0,24141.0,0.0,
20160909130000,24143.0,24144.0,24125.0,24127.0,871.0,
20160909130500,24129.0,24151.0,24127.0,24150.0,651.0,
20160909131000,24148.0,24160.0,24144.0,24158.0,656.0,
20160909131500,24158.0,24165.0,24152.0,24162.0,852.0,
20160909132000,24162.0,24184.0,24155.0,24182.0,1766.0,
20160909132500,24182.0,24191.0,24176.0,24181.0,979.0,
20160909133000,24182.0,24194.0,24179.0,24190.0,914.0,
20160909133500,24191.0,24235.0,24191.0,24234.0,1974.0,
20160909134000,24234.0,24283.0,24234.0,24267.0,3143.0,
20160909134500,24267.0,24362.0,24262.0,24352.0,3561.0,
20160909135000,24352.0,24374.0,24267.0,24268.0,3505.0,
20160909135500,24266.0,24298.0,24253.0,24256.0,2612.0,
20160909140000,24254.0,24274.0,24237.0,24252.0,2229.0,
20160909140500,24253.0,24255.0,24217.0,24229.0,1284.0,
20160909141000,24230.0,24233.0,24212.0,24227.0,1099.0,
20160909141500,24228.0,24246.0,24220.0,24235.0,1101.0,
20160909142000,24234.0,24235.0,24191.0,24202.0,2043.0,
20160909142500,24202.0,24208.0,24175.0,24186.0,1665.0,
20160909143000,24186.0,24226.0,24176.0,24211.0,1951.0,
20160909143500,24211.0,24213.0,24181.0,24198.0,786.0,
20160909144000,24199.0,24209.0,24184.0,24184.0,708.0,
20160909144500,24183.0,24207.0,24176.0,24201.0,980.0,
20160909145000,24202.0,24210.0,24191.0,24204.0,667.0,
20160909145500,24202.0,24225.0,24199.0,24214.0,1113.0,
20160909150000,24212.0,24214.0,24136.0,24152.0,3443.0,
20160909150500,24152.0,24167.0,24135.0,24158.0,1886.0,
20160909151000,24160.0,24167.0,24152.0,24156.0,1089.0,
20160909151500,24157.0,24159.0,24102.0,24108.0,2529.0,
20160909152000,24108.0,24153.0,24106.0,24138.0,1933.0,
20160909152500,24140.0,24140.0,24104.0,24117.0,1817.0,
20160909153000,24117.0,24128.0,24095.0,24125.0,1713.0,
20160909153500,24123.0,24143.0,24119.0,24135.0,1498.0,
20160909154000,24136.0,24145.0,24114.0,24134.0,1332.0,
20160909154500,24134.0,24140.0,24117.0,24121.0,1009.0,
20160909155000,24121.0,24125.0,24091.0,24111.0,1681.0,
20160909155500,24111.0,24121.0,24092.0,24098.0,1833.0,
20160909160000,24097.0,24109.0,24086.0,24093.0,2083.0,
20160909160500,24093.0,24104.0,24051.0,24052.0,2123.0,
20160909161000,24051.0,24084.0,24009.0,24058.0,3235.0,
20160909161500,24058.0,24060.0,24022.0,24037.0,782.0,
20160909162000,24039.0,24047.0,24035.0,24040.0,616.0,
20160909162500,24040.0,24086.0,24038.0,24084.0,1160.0,
20160912091000,23580.0,23580.0,23580.0,23580.0,672.0,
20160912091500,23585.0,23626.0,23553.0,23598.0,4515.0,
20160912092000,23600.0,23604.0,23546.0,23570.0,2523.0,
20160912092500,23573.0,23619.0,23569.0,23581.0,2246.0,
20160912093000,23579.0,23580.0,23508.0,23508.0,6590.0,
20160912093500,23508.0,23635.0,23483.0,23618.0,6277.0,
20160912094000,23618.0,23621.0,23574.0,23595.0,2715.0,
20160912094500,23597.0,23615.0,23571.0,23609.0,2258.0,
20160912095000,23608.0,23624.0,23583.0,23591.0,2624.0,
20160912095500,23590.0,23592.0,23522.0,23528.0,4017.0,
20160912100000,23528.0,23563.0,23512.0,23534.0,2756.0,
20160912100500,23535.0,23555.0,23514.0,23551.0,1503.0,
20160912101000,23549.0,23551.0,23516.0,23522.0,1538.0,
20160912101500,23521.0,23526.0,23471.0,23494.0,3200.0,
20160912102000,23495.0,23533.0,23463.0,23526.0,2807.0,
20160912102500,23525.0,23528.0,23489.0,23500.0,2191.0,
20160912103000,23500.0,23502.0,23467.0,23497.0,1594.0,
20160912103500,23496.0,23522.0,23486.0,23502.0,1832.0,
20160912104000,23502.0,23520.0,23488.0,23513.0,1012.0,
20160912104500,23514.0,23529.0,23506.0,23509.0,1268.0,
20160912105000,23509.0,23519.0,23504.0,23516.0,769.0,
20160912105500,23517.0,23538.0,23508.0,23510.0,1867.0,
20160912110000,23508.0,23512.0,23493.0,23498.0,1125.0,
20160912110500,23498.0,23498.0,23470.0,23487.0,1023.0,
20160912111000,23486.0,23496.0,23445.0,23452.0,2252.0,
20160912111500,23453.0,23460.0,23412.0,23426.0,2354.0,
20160912112000,23425.0,23432.0,23392.0,23404.0,2262.0,
20160912112500,23405.0,23431.0,23403.0,23423.0,1158.0,
20160912113000,23424.0,23434.0,23418.0,23434.0,1015.0,
20160912113500,23434.0,23441.0,23421.0,23435.0,633.0,
20160912114000,23435.0,23447.0,23431.0,23439.0,452.0,
20160912114500,23440.0,23441.0,23424.0,23435.0,384.0,
20160912115000,23434.0,23439.0,23414.0,23432.0,543.0,
20160912115500,23431.0,23438.0,23410.0,23427.0,562.0,
20160912125500,23427.0,23427.0,23427.0,23427.0,0.0,
20160912130000,23440.0,23455.0,23426.0,23443.0,1463.0,
20160912130500,23442.0,23472.0,23440.0,23470.0,1143.0,
20160912131000,23469.0,23475.0,23453.0,23454.0,623.0,
20160912131500,23456.0,23461.0,23431.0,23438.0,983.0,
20160912132000,23436.0,23438.0,23410.0,23423.0,1047.0,
20160912132500,23422.0,23425.0,23401.0,23423.0,1071.0,
20160912133000,23423.0,23443.0,23418.0,23432.0,1110.0,
20160912133500,23431.0,23438.0,23412.0,23435.0,1047.0,
20160912134000,23435.0,23457.0,23429.0,23442.0,764.0,
20160912134500,23442.0,23449.0,23423.0,23441.0,738.0,
20160912135000,23442.0,23444.0,23422.0,23426.0,590.0,
20160912135500,23425.0,23434.0,23409.0,23430.0,951.0,
20160912140000,23431.0,23450.0,23428.0,23436.0,846.0,
20160912140500,23435.0,23442.0,23423.0,23432.0,669.0,
20160912141000,23432.0,23446.0,23425.0,23443.0,565.0,
20160912141500,23443.0,23450.0,23437.0,23443.0,646.0,
20160912142000,23444.0,23445.0,23415.0,23422.0,780.0,
