DateTime,Open,High,Low,Close,Volume
20160922091000 ,23861,23861,23861,23861,8
20160922091500 ,23861,23877,23848,23877,290
20160922092000 ,23885,23888,23860,23865,339
20160922092400 ,23865,23870,23853,23870,77
20160922092900 ,23865,23909,23856,23889,125
20160922093400 ,23887,23900,23868,23885,92
20160922093900 ,23892,23930,23891,23910,443
20160922094400 ,23916,24020,23914,23989,330
20160922094900 ,23989,24025,23988,24003,106
20160922095400 ,24000,24000,23980,24000,90
20160922095900 ,23982,23988,23980,23980,11
20160922100500 ,23987,24006,23977,23981,43
20160922101000 ,23975,24033,23975,24002,20
20160922101500 ,24001,24014,24001,24012,19
20160922102000 ,24020,24030,24008,24030,25
20160922102500 ,24035,24035,24019,24020,37
20160922103000 ,24020,24053,24017,24053,329
20160922103500 ,24050,24073,24044,24058,14
20160922104000 ,24050,24053,24044,24047,10
20160922104500 ,24047,24049,24039,24039,244
20160922105000 ,24039,24050,24039,24050,36
20160922105500 ,24051,24052,24042,24042,9
20160922110000 ,24046,24046,24031,24035,38
20160922110500 ,24030,24040,24030,24040,55
20160922111000 ,24052,24052,24040,24041,104
20160922111500 ,24043,24060,24043,24053,213
20160922112000 ,24056,24057,24056,24057,3
20160922112500 ,24057,24057,24030,24030,430
20160922113000 ,24030,24053,24030,24053,23
20160922113500 ,24053,24055,24045,24045,10
20160922114000 ,24045,24045,24003,24003,9
20160922114500 ,24013,24025,23999,23999,39
20160922115000 ,23991,23995,23962,23962,10
20160922115500 ,23945,23965,23945,23960,15
20160922125500 ,23960,23960,23960,23960,0
20160922130000 ,23956,23960,23895,23902,53
20160922130500 ,23907,23907,23873,23882,55
20160922131000 ,23893,23907,23881,23905,14
20160922131500 ,23910,23920,23903,23920,38
20160922132000 ,23920,23920,23892,23894,10
20160922132500 ,23895,23903,23888,23888,15
20160922133000 ,23898,23914,23898,23902,11
20160922133500 ,23904,23904,23810,23810,85
20160922134000 ,23820,23822,23766,23776,50
20160922134500 ,23774,23794,23770,23787,128
20160922135000 ,23794,23795,23724,23738,105
20160922135500 ,23736,23740,23686,23740,233
20160922140000 ,23741,23751,23732,23740,28
20160922140500 ,23735,23763,23735,23757,114
20160922141000 ,23755,23755,23725,23744,9
20160922141500 ,23732,23740,23725,23725,10
20160922142000 ,23713,23732,23710,23718,11
20160922142500 ,23718,23749,23718,23749,14
20160922143000 ,23752,23774,23752,23759,218
20160922143500 ,23759,23761,23758,23758,7
20160922144000 ,23766,23768,23754,23754,7
20160922144500 ,23757,23763,23757,23763,24
20160922145000 ,23763,23763,23727,23754,20
20160922145500 ,23773,23795,23773,23777,15
20160922150000 ,23782,23805,23782,23800,25
20160922150500 ,23800,23821,23800,23810,53
20160922151000 ,23810,23810,23801,23808,6
20160922151500 ,23814,23814,23803,23803,45
20160922152000 ,23812,23812,23790,23790,6
20160922152500 ,23790,23790,23767,23770,15
20160922153000 ,23765,23783,23762,23765,9
20160922153500 ,23765,23765,23755,23763,7
20160922154000 ,23764,23764,23750,23758,12
20160922154500 ,23762,23762,23740,23740,53
20160922155000 ,23740,23753,23740,23753,43
20160922155500 ,23754,23772,23754,23772,9
20160922160000 ,23786,23790,23779,23785,40
20160922160500 ,23784,23785,23776,23783,21
20160922161000 ,23785,23789,23770,23770,37
20160922161500 ,23770,23780,23770,23780,1
20160922162000 ,23780,23783,23779,23779,3
20160922162500 ,23786,23790,23786,23790,53
20160922171500 ,23827,23834,23824,23831,4
20160922172000 ,23831,23834,23831,23834,2
20160922172500 ,23833,23855,23833,23855,8
20160922173000 ,23855,23865,23855,23865,4
20160922173500 ,23849,23860,23849,23859,4
20160922174000 ,23859,23859,23858,23858,1
20160922174500 ,23858,23860,23858,23860,2
20160922175000 ,23860,23860,23855,23855,2
20160922175500 ,23855,23859,23854,23859,3
20160922180000 ,23859,23869,23859,23869,4
20160922180500 ,23869,23869,23864,23864,1
20160922181000 ,23862,23862,23858,23858,2
20160922181500 ,23863,23870,23863,23870,8
20160922182000 ,23870,23880,23870,23880,11
20160922182500 ,23885,23886,23880,23880,4
20160922183000 ,23880,23880,23880,23880,0
20160922183500 ,23880,23880,23880,23880,0
20160922184000 ,23880,23880,23876,23876,1
20160922184500 ,23876,23876,23876,23876,0
20160922185000 ,23876,23876,23876,23876,0
20160922185500 ,23876,23879,23876,23879,3
20160922190000 ,23879,23886,23879,23886,3
20160922190500 ,23886,23895,23886,23895,31
20160922191000 ,23895,23895,23884,23884,2
20160922191500 ,23880,23883,23880,23883,19
20160922192000 ,23883,23883,23883,23883,0
20160922192500 ,23886,23889,23886,23889,7
20160922193000 ,23889,23900,23889,23898,7
20160922193500 ,23898,23898,23896,23896,1
20160922194000 ,23896,23896,23896,23896,0
20160922194500 ,23896,23900,23896,23900,2
20160922195000 ,23900,23900,23900,23900,0
20160922195500 ,23900,23900,23900,23900,0
20160922200000 ,23900,23900,23900,23900,0
20160922200500 ,23900,23900,23885,23885,8
20160922201000 ,23885,23885,23885,23885,0
20160922201500 ,23885,23885,23885,23885,0
20160922202000 ,23885,23885,23885,23885,0
20160922202500 ,23885,23900,23885,23900,1
20160922203000 ,23900,23910,23900,23907,5
20160922203500 ,23907,23907,23907,23907,0
20160922204000 ,23907,23917,23907,23917,6
20160922204500 ,23917,23917,23907,23907,1
20160922205000 ,23907,23909,23907,23909,5
20160922205500 ,23909,23914,23909,23914,1
20160922210000 ,23914,23914,23914,23914,0
20160922210500 ,23914,23914,23914,23914,1
20160922211000 ,23914,23914,23914,23914,0
20160922211500 ,23914,23914,23902,23903,3
20160922212000 ,23911,23930,23911,23927,15
20160922212500 ,23927,23932,23927,23932,3
20160922213000 ,23940,23950,23940,23950,6
