DateTime,Open,High,Low,Close,Volume
20161024091000 ,23399,23399,23399,23399,87
20161024091500 ,23361,23422,23310,23422,1415
20161024092000 ,23413,23444,23412,23435,800
20161024092500 ,23436,23436,23401,23401,526
20161024093000 ,23400,23412,23294,23305,842
20161024093500 ,23298,23302,23230,23246,610
20161024094000 ,23248,23248,23220,23241,123
20161024094500 ,23246,23272,23223,23272,517
20161024095000 ,23270,23281,23247,23265,246
20161024095500 ,23267,23276,23254,23267,115
20161024100000 ,23268,23321,23268,23321,1066
20161024100500 ,23322,23329,23310,23321,304
20161024101000 ,23324,23341,23317,23320,84
20161024101500 ,23325,23330,23311,23323,65
20161024102000 ,23324,23344,23324,23330,43
20161024102500 ,23331,23375,23322,23375,652
20161024103000 ,23375,23425,23375,23413,485
20161024103500 ,23422,23481,23422,23459,215
20161024104000 ,23466,23476,23462,23476,112
20161024104500 ,23476,23477,23448,23449,325
20161024105000 ,23451,23451,23418,23427,67
20161024105500 ,23424,23429,23413,23427,76
20161024110000 ,23433,23455,23432,23444,149
20161024110500 ,23441,23486,23439,23481,131
20161024111000 ,23488,23514,23476,23509,1208
20161024111500 ,23512,23522,23487,23500,140
20161024112000 ,23505,23506,23486,23489,210
20161024112500 ,23490,23492,23474,23478,131
20161024113000 ,23474,23487,23462,23467,83
20161024113500 ,23466,23474,23456,23466,115
20161024114000 ,23467,23477,23467,23474,76
20161024114500 ,23471,23485,23463,23466,695
20161024115000 ,23468,23477,23468,23475,65
20161024115500 ,23471,23474,23461,23464,808
20161024125500 ,23464,23464,23457,23457,2
20161024130000 ,23464,23464,23448,23457,143
20161024130500 ,23457,23459,23445,23454,191
20161024131000 ,23454,23457,23445,23450,517
20161024131500 ,23452,23465,23452,23459,200
20161024132000 ,23459,23494,23459,23488,202
20161024132500 ,23489,23497,23469,23469,181
20161024133000 ,23473,23495,23468,23485,187
20161024133500 ,23484,23490,23475,23480,341
20161024134000 ,23478,23482,23462,23471,184
20161024134500 ,23471,23494,23462,23483,235
20161024135000 ,23484,23491,23472,23473,1390
20161024135500 ,23473,23489,23472,23488,112
