DateTime,Open,High,Low,Close,Volume
20160927091000 ,23198,23198,23198,23198,154
20160927091500 ,23197,23330,23188,23328,4880
20160927092000 ,23329,23389,23324,23348,1282
20160927092500 ,23350,23418,23350,23399,2211
20160927093000 ,23398,23405,23307,23372,3299
20160927093500 ,23373,23430,23357,23430,3017
20160927094000 ,23429,23450,23405,23443,1081
20160927094500 ,23444,23474,23427,23467,769
20160927095000 ,23468,23484,23435,23446,1184
20160927095500 ,23450,23454,23428,23442,719
20160927100000 ,23442,23468,23442,23463,874
20160927100500 ,23462,23479,23458,23468,318
20160927101000 ,23468,23472,23437,23443,4297
20160927101500 ,23442,23457,23431,23457,3348
20160927102000 ,23456,23468,23441,23452,972
20160927102500 ,23450,23451,23431,23445,515
20160927103000 ,23447,23501,23447,23494,496
20160927103500 ,23494,23532,23494,23518,581
20160927104000 ,23518,23523,23499,23502,1439
20160927104500 ,23503,23522,23503,23504,1191
20160927105000 ,23505,23510,23476,23488,2688
20160927105500 ,23490,23491,23471,23484,771
20160927110000 ,23483,23508,23480,23496,201
20160927110500 ,23499,23515,23497,23509,901
20160927111000 ,23509,23530,23507,23520,1242
20160927111500 ,23519,23519,23502,23511,386
20160927112000 ,23512,23515,23492,23494,415
20160927112500 ,23495,23503,23488,23498,331
20160927113000 ,23500,23519,23500,23511,174
20160927113500 ,23517,23550,23512,23544,556
20160927114000 ,23547,23553,23537,23542,251
20160927114500 ,23543,23605,23543,23595,990
20160927115000 ,23598,23614,23589,23596,760
20160927115500 ,23599,23602,23577,23579,742
20160927125500 ,23581,23581,23581,23581,0
20160927130000 ,23579,23606,23579,23604,569
20160927130500 ,23604,23643,23601,23623,643
20160927131000 ,23626,23632,23607,23607,178
20160927131500 ,23609,23627,23600,23605,373
20160927132000 ,23601,23603,23587,23592,489
20160927132500 ,23592,23598,23580,23595,278
20160927133000 ,23595,23600,23553,23558,1130
20160927133500 ,23560,23563,23546,23552,492
20160927134000 ,23547,23549,23537,23538,282
20160927134500 ,23538,23565,23538,23559,401
20160927135000 ,23559,23576,23559,23565,360
20160927135500 ,23566,23594,23566,23593,1738
20160927140000 ,23591,23596,23552,23554,506
20160927140500 ,23555,23559,23542,23542,594
20160927141000 ,23543,23566,23538,23566,188
20160927141500 ,23565,23577,23559,23560,204
20160927142000 ,23559,23593,23555,23586,302
20160927142500 ,23588,23631,23587,23616,557
