DateTime,Open,High,Low,Close,Volume
20160930091000 ,23504,23504,23504,23504,463
20160930091500 ,23504,23511,23338,23372,4708
20160930092000 ,23374,23375,23309,23355,3621
20160930092500 ,23355,23355,23321,23323,2090
20160930093000 ,23324,23430,23319,23366,6150
20160930093500 ,23367,23427,23357,23421,2900
20160930094000 ,23420,23425,23391,23419,2036
20160930094500 ,23420,23423,23387,23404,2012
20160930095000 ,23403,23443,23392,23432,2108
20160930095500 ,23431,23441,23396,23419,1913
20160930100000 ,23418,23421,23396,23407,1353
20160930100500 ,23405,23406,23370,23375,1794
20160930101000 ,23373,23398,23367,23396,1507
20160930101500 ,23396,23410,23394,23396,1408
20160930102000 ,23395,23396,23368,23370,1382
20160930102500 ,23369,23383,23357,23362,1760
20160930103000 ,23361,23372,23352,23370,1172
20160930103500 ,23369,23369,23351,23362,815
20160930104000 ,23363,23393,23361,23385,1075
20160930104500 ,23385,23410,23378,23407,1061
20160930105000 ,23407,23416,23400,23414,830
20160930105500 ,23412,23414,23392,23404,667
20160930110000 ,23405,23425,23394,23419,1003
20160930110500 ,23420,23430,23410,23415,1072
20160930111000 ,23415,23422,23410,23420,434
20160930111500 ,23419,23454,23419,23425,1745
20160930112000 ,23425,23432,23403,23403,955
20160930112500 ,23404,23410,23394,23401,674
20160930113000 ,23402,23407,23375,23383,1146
20160930113500 ,23383,23397,23380,23382,659
20160930114000 ,23383,23395,23377,23383,516
20160930114500 ,23383,23403,23381,23400,532
20160930115000 ,23399,23406,23393,23400,338
20160930115500 ,23399,23406,23393,23401,388
20160930125500 ,23401,23401,23401,23401,0
20160930130000 ,23396,23419,23393,23406,643
20160930130500 ,23408,23422,23405,23408,696
20160930131000 ,23410,23419,23407,23410,322
20160930131500 ,23411,23413,23404,23413,296
20160930132000 ,23411,23428,23401,23404,737
20160930132500 ,23404,23404,23386,23388,924
20160930133000 ,23388,23394,23381,23389,493
20160930133500 ,23390,23390,23361,23369,951
20160930134000 ,23368,23384,23368,23376,605
20160930134500 ,23376,23376,23357,23365,747
20160930135000 ,23364,23365,23336,23341,1675
